elephant_id,day_of_season,hour_of_day,longitude_km,latitude_km,ambient_temp_c,true_region
EL-620,74,5,23.94,30.079,30.7,Migration Corridor
EL-342,29,18,44.314,12.001,32.8,Home Range
EL-656,83,0,24.634,7.821,30.9,Feeding Ground
EL-700,12,13,19.224,29.798,30.7,Migration Corridor
EL-186,58,13,8.617,39.749,24.2,Main Waterhole
EL-320,40,19,7.938,40.212,32.5,Main Waterhole
EL-944,38,14,18.397,30.877,25.4,Migration Corridor
EL-700,37,18,26.079,10.875,28.6,Feeding Ground
EL-790,9,19,0.228,24.685,18.0,Stray/Noise
EL-992,11,17,42.902,37.66,26.9,Secondary Waterhole
EL-136,86,23,25.803,7.881,26.9,Feeding Ground
EL-996,21,16,23.08,6.794,25.7,Feeding Ground
EL-411,25,19,41.44,37.693,25.0,Secondary Waterhole
EL-173,26,21,30.357,30.378,32.3,Migration Corridor
EL-125,41,0,7.564,39.907,21.1,Main Waterhole
EL-205,25,19,14.169,33.399,28.8,Migration Corridor
EL-843,39,14,42.382,37.969,26.5,Secondary Waterhole
EL-253,85,13,30.396,30.111,25.4,Migration Corridor
EL-983,4,13,7.744,39.921,26.5,Main Waterhole
EL-423,71,16,45.041,10.64,27.9,Home Range
EL-235,23,20,17.304,31.393,29.0,Migration Corridor
EL-966,49,16,35.282,33.566,24.7,Migration Corridor
EL-297,6,2,8.262,40.292,22.6,Main Waterhole
EL-534,33,12,8.61,40.155,31.4,Migration Corridor
EL-131,34,20,41.762,38.717,27.0,Secondary Waterhole
EL-731,13,20,3.213,29.709,23.4,Stray/Noise
EL-730,51,19,8.467,39.633,23.9,Main Waterhole
EL-448,62,7,10.511,37.316,27.3,Migration Corridor
EL-545,51,0,8.58,39.459,22.1,Migration Corridor
EL-955,51,4,8.643,40.094,24.1,Main Waterhole
EL-903,43,10,8.379,40.485,27.4,Main Waterhole
EL-148,27,23,24.205,9.121,30.8,Feeding Ground
EL-721,21,22,41.68,37.305,27.0,Secondary Waterhole
EL-832,21,4,42.184,37.365,28.4,Secondary Waterhole
EL-628,70,6,42.237,38.009,24.7,Secondary Waterhole
EL-703,69,19,25.874,8.356,27.8,Feeding Ground
EL-693,52,8,8.259,39.411,28.5,Main Waterhole
EL-611,29,5,42.43,37.814,25.8,Secondary Waterhole
EL-740,3,19,26.107,7.53,18.7,Feeding Ground
EL-596,56,5,41.558,38.043,21.8,Migration Corridor
EL-359,16,23,27.728,23.036,34.8,Stray/Noise
EL-271,37,17,41.7,38.366,28.2,Secondary Waterhole
EL-129,36,12,43.331,13.347,33.0,Home Range
EL-605,72,5,14.931,34.044,13.2,Migration Corridor
EL-429,69,23,42.285,38.389,31.3,Secondary Waterhole
EL-360,9,21,42.42,37.933,24.2,Secondary Waterhole
EL-533,2,11,45.957,13.034,22.1,Home Range
EL-585,39,14,41.993,37.286,22.9,Secondary Waterhole
EL-927,35,8,44.071,12.848,21.0,Home Range
EL-145,10,20,7.484,39.444,23.7,Main Waterhole
EL-248,10,3,26.233,8.685,28.1,Feeding Ground
EL-149,9,1,25.047,7.929,27.3,Feeding Ground
EL-743,36,7,7.895,39.983,28.6,Main Waterhole
EL-852,36,8,13.433,34.909,27.7,Migration Corridor
EL-701,50,13,46.025,19.143,22.7,Stray/Noise
EL-888,4,3,27.595,29.041,31.1,Migration Corridor
EL-993,76,23,46.314,11.048,29.5,Home Range
EL-183,2,15,47.39,13.649,32.7,Home Range
EL-844,80,16,43.785,12.632,29.3,Home Range
EL-130,36,21,45.204,14.722,25.2,Home Range
EL-321,88,8,27.372,28.952,21.5,Migration Corridor
EL-726,6,7,8.432,40.083,31.3,Main Waterhole
EL-558,66,13,41.539,37.177,30.9,Secondary Waterhole
EL-484,18,4,38.305,34.824,27.5,Migration Corridor
EL-190,28,10,8.292,39.766,26.1,Main Waterhole
EL-647,5,20,7.597,40.059,22.7,Main Waterhole
EL-146,23,15,7.613,40.346,29.3,Main Waterhole
EL-457,56,18,14.204,34.148,27.1,Migration Corridor
EL-842,51,13,40.5,27.64,24.7,Stray/Noise
EL-534,58,16,8.582,40.043,25.8,Main Waterhole
EL-886,25,15,41.757,37.958,32.7,Secondary Waterhole
EL-463,77,6,14.986,32.632,28.1,Migration Corridor
EL-322,43,23,41.551,37.76,20.9,Secondary Waterhole
EL-978,2,21,42.186,37.845,23.7,Secondary Waterhole
EL-558,30,1,42.678,37.88,25.3,Secondary Waterhole
EL-692,39,9,41.463,38.553,34.3,Secondary Waterhole
EL-201,56,23,41.899,37.684,16.7,Secondary Waterhole
EL-550,69,5,14.874,33.467,33.4,Migration Corridor
EL-183,12,1,8.187,40.07,31.4,Main Waterhole
EL-107,2,13,8.437,39.902,28.5,Main Waterhole
EL-317,56,9,7.686,40.142,30.9,Main Waterhole
EL-398,67,11,42.747,12.378,33.1,Home Range
EL-459,25,10,44.097,14.713,30.4,Home Range
EL-155,83,19,8.163,40.34,21.3,Main Waterhole
EL-549,32,11,42.618,37.922,30.3,Secondary Waterhole
EL-672,67,23,7.637,40.202,28.3,Main Waterhole
EL-767,47,3,42.3,38.654,24.2,Secondary Waterhole
EL-918,50,19,42.262,38.057,35.5,Secondary Waterhole
EL-512,7,7,25.055,8.653,31.9,Feeding Ground
EL-301,26,11,7.781,40.536,24.8,Main Waterhole
EL-406,56,7,8.585,39.617,18.2,Main Waterhole
EL-567,4,20,41.541,37.641,32.0,Secondary Waterhole
EL-390,34,14,46.032,11.24,18.0,Home Range
EL-442,37,13,47.816,32.379,31.2,Stray/Noise
EL-475,84,2,24.207,9.332,29.1,Feeding Ground
EL-283,18,18,24.033,8.501,24.1,Feeding Ground
EL-879,15,11,24.738,7.316,25.7,Feeding Ground
EL-249,61,7,8.185,39.925,33.0,Main Waterhole
EL-501,29,9,47.214,11.6,22.9,Home Range
EL-317,22,23,24.575,28.457,29.7,Migration Corridor
EL-141,89,20,44.669,12.316,21.9,Home Range
EL-670,11,9,44.228,8.915,27.1,Home Range
EL-305,67,22,41.71,37.617,23.2,Secondary Waterhole
EL-638,55,21,25.676,9.45,29.7,Feeding Ground
EL-241,58,15,36.04,31.631,29.3,Migration Corridor
EL-652,31,20,41.413,37.6,32.2,Secondary Waterhole
EL-272,89,8,8.284,40.192,32.2,Main Waterhole
EL-415,9,12,38.691,36.157,25.5,Migration Corridor
EL-602,70,10,7.809,40.134,23.9,Main Waterhole
EL-661,55,17,7.771,39.831,30.6,Main Waterhole
EL-771,31,1,42.718,9.241,23.5,Home Range
EL-775,20,22,42.469,38.585,33.3,Secondary Waterhole
EL-404,67,11,42.151,38.413,19.6,Secondary Waterhole
EL-898,77,12,42.011,38.35,18.4,Secondary Waterhole
EL-132,76,12,17.511,31.644,24.3,Migration Corridor
EL-647,14,17,32.719,30.903,27.6,Migration Corridor
EL-110,27,22,17.647,39.388,19.7,Stray/Noise
EL-488,77,1,8.304,39.488,28.8,Main Waterhole
EL-142,87,4,8.352,39.932,31.8,Main Waterhole
EL-375,22,14,7.779,40.416,36.5,Main Waterhole
EL-397,8,19,41.755,38.308,27.3,Secondary Waterhole
EL-525,5,7,17.604,31.195,20.9,Migration Corridor
EL-722,28,4,25.527,9.279,25.3,Feeding Ground
EL-836,73,8,48.053,12.737,24.9,Home Range
EL-436,76,19,7.757,40.18,28.1,Main Waterhole
EL-694,44,20,8.538,39.732,31.4,Main Waterhole
EL-353,7,16,8.381,39.966,22.6,Main Waterhole
EL-667,77,23,7.76,40.53,25.1,Main Waterhole
EL-229,26,19,7.769,39.492,20.3,Main Waterhole
EL-800,54,23,8.05,40.406,23.9,Main Waterhole
EL-722,51,18,10.23,37.987,28.7,Migration Corridor
EL-227,63,1,41.959,38.752,31.3,Secondary Waterhole
EL-834,69,3,8.179,40.076,32.3,Main Waterhole
EL-819,24,20,41.79,38.84,22.2,Secondary Waterhole
EL-277,59,13,38.852,35.097,23.0,Migration Corridor
EL-862,6,16,25.511,8.094,22.0,Feeding Ground
EL-119,79,4,7.852,40.42,25.2,Main Waterhole
EL-609,18,19,23.756,9.174,18.6,Feeding Ground
EL-693,19,0,44.237,10.473,27.3,Home Range
EL-629,75,16,34.392,20.909,23.2,Stray/Noise
EL-141,32,21,44.8,10.447,22.5,Home Range
EL-731,49,21,7.624,39.762,21.1,Main Waterhole
EL-106,50,2,24.388,8.178,28.9,Feeding Ground
EL-428,13,15,24.208,8.074,31.1,Feeding Ground
EL-896,76,3,41.878,37.206,30.2,Secondary Waterhole
EL-520,85,1,26.416,8.612,29.5,Feeding Ground
EL-547,32,11,32.371,31.338,29.5,Migration Corridor
EL-249,63,11,28.28,28.137,27.7,Migration Corridor
EL-158,71,18,20.839,31.212,23.2,Migration Corridor
EL-653,7,16,44.35,10.208,32.3,Home Range
EL-152,15,23,8.313,40.161,27.3,Main Waterhole
EL-387,89,22,49.37,11.674,18.7,Home Range
EL-230,84,14,42.074,37.956,21.4,Secondary Waterhole
EL-735,43,4,8.325,40.27,23.4,Main Waterhole
EL-405,28,5,7.678,40.129,21.8,Main Waterhole
EL-284,20,16,7.635,39.729,34.1,Main Waterhole
EL-896,76,17,41.466,37.776,31.0,Secondary Waterhole
EL-389,71,15,7.908,40.133,31.2,Main Waterhole
EL-698,19,17,37.53,35.117,26.9,Migration Corridor
EL-680,31,9,41.707,37.787,23.8,Secondary Waterhole
EL-365,4,4,23.667,9.992,23.3,Feeding Ground
EL-742,50,21,8.051,39.867,25.6,Main Waterhole
EL-510,3,1,46.22,10.467,27.0,Home Range
EL-637,3,21,42.353,37.746,19.8,Secondary Waterhole
EL-679,13,17,20.983,30.441,27.4,Migration Corridor
EL-755,12,16,25.451,6.376,31.0,Feeding Ground
EL-870,60,12,43.713,11.183,33.7,Home Range
EL-807,16,17,41.721,37.958,25.9,Secondary Waterhole
EL-702,58,16,41.979,38.839,21.5,Secondary Waterhole
EL-830,6,10,44.347,11.607,17.4,Home Range
EL-520,68,22,24.48,8.647,28.2,Feeding Ground
EL-239,36,13,42.223,38.23,28.7,Secondary Waterhole
EL-843,78,16,24.835,8.258,19.0,Feeding Ground
EL-965,38,3,8.826,40.07,26.7,Main Waterhole
EL-150,25,4,7.758,39.624,10.8,Main Waterhole
EL-978,76,11,31.661,31.358,17.8,Migration Corridor
EL-540,26,14,9.492,37.906,21.6,Migration Corridor
EL-870,60,10,7.687,40.097,25.4,Main Waterhole
EL-765,40,4,42.612,38.488,16.0,Secondary Waterhole
EL-870,48,10,25.268,7.623,35.4,Feeding Ground
EL-972,64,2,42.002,37.796,30.2,Secondary Waterhole
EL-662,22,10,8.031,40.101,36.4,Main Waterhole
EL-396,67,14,41.198,37.79,17.8,Secondary Waterhole
EL-242,64,16,45.639,14.976,13.4,Home Range
EL-817,43,4,26.941,29.241,25.5,Migration Corridor
EL-495,8,2,41.412,38.831,28.1,Secondary Waterhole
EL-632,80,21,20.055,29.016,26.6,Migration Corridor
EL-613,55,18,42.953,38.264,29.2,Secondary Waterhole
EL-842,74,17,41.81,15.176,25.6,Home Range
EL-953,42,8,7.795,40.271,20.8,Main Waterhole
EL-863,41,21,7.709,40.166,26.0,Main Waterhole
EL-886,3,12,12.415,35.213,21.6,Migration Corridor
EL-639,43,4,17.263,31.577,24.3,Migration Corridor
EL-611,74,13,20.636,28.938,26.2,Migration Corridor
EL-723,85,13,24.303,9.873,28.4,Feeding Ground
EL-941,9,9,41.877,38.369,27.9,Secondary Waterhole
EL-614,87,23,25.491,9.326,31.4,Feeding Ground
EL-247,70,13,7.81,39.709,27.3,Main Waterhole
EL-649,21,23,7.41,39.698,23.2,Main Waterhole
EL-124,26,6,41.811,38.431,32.6,Secondary Waterhole
EL-184,30,10,29.104,30.301,26.8,Migration Corridor
EL-268,22,9,44.291,12.281,22.8,Home Range
EL-329,16,21,8.333,39.974,23.2,Main Waterhole
EL-990,85,4,7.527,40.041,23.4,Main Waterhole
EL-867,72,6,8.451,40.047,27.9,Main Waterhole
EL-234,20,18,7.869,39.924,27.4,Main Waterhole
EL-777,68,8,42.25,38.608,42.6,Secondary Waterhole
EL-329,64,0,7.935,39.646,25.7,Main Waterhole
EL-585,85,12,31.363,29.985,30.0,Migration Corridor
EL-645,60,23,27.881,30.005,35.7,Migration Corridor
EL-838,9,23,7.993,39.603,17.4,Main Waterhole
EL-416,33,4,25.477,7.678,25.1,Feeding Ground
EL-592,75,1,42.715,37.002,28.9,Secondary Waterhole
EL-827,43,0,41.699,38.885,25.4,Secondary Waterhole
EL-305,19,1,17.1,32.453,31.9,Migration Corridor
EL-618,3,15,8.474,39.838,31.7,Main Waterhole
EL-586,64,15,7.817,39.894,35.9,Main Waterhole
EL-942,21,18,31.041,45.987,24.8,Stray/Noise
EL-857,23,5,25.69,7.189,33.8,Feeding Ground
EL-459,46,10,41.545,36.947,25.4,Secondary Waterhole
EL-888,41,3,8.182,39.236,25.6,Main Waterhole
EL-543,32,0,25.763,7.328,30.9,Feeding Ground
EL-674,15,23,25.035,8.613,19.8,Feeding Ground
EL-293,23,11,8.121,39.651,35.5,Main Waterhole
EL-509,69,6,8.05,40.058,31.8,Main Waterhole
EL-670,11,2,43.974,27.008,29.2,Stray/Noise
EL-326,30,9,40.83,38.526,18.3,Secondary Waterhole
EL-946,66,22,44.676,12.482,22.5,Home Range
