studio,primary_genre,genre_count,source_material,demographic,episodes,episode_length_min,animation_budget_tier,marketing_spend_tier,voice_cast_popularity,director_experience_years,studio_prior_hits,release_season,release_year,has_sequel_potential_arc,mal_rating,popularity_score,success_tier
Lerche,Sci-Fi,2,Manga,Seinen,13,24,Low,High,1.81,9.1,4,Fall,2024,0,6.02,59.0,Average
Doga Kobo,Adventure,3,Visual Novel,Shounen,12,24,High,Medium,4.24,8.5,8,Summer,2021,0,8.55,86.7,Hit
Bones,Sports,3,Manga,Shounen,25,24,Medium,Medium,6.4,12.7,10,Winter,2019,0,10.0,100.0,Hit
J.C.Staff,Supernatural,3,Manga,Shounen,13,24,Medium,Medium,4.02,7.8,7,Winter,2015,1,7.57,87.2,Hit
Pierrot,Mecha,3,Visual Novel,Shoujo,12,24,Low,Low,5.63,5.9,6,Winter,2017,0,4.77,38.2,Flop
CloverWorks,Isekai,3,Manga,Shounen,12,24,Medium,Medium,5.16,14.0,7,Winter,2023,1,8.1,79.1,Hit
Bones,Sci-Fi,2,Light Novel,Shounen,50,24,Low,Low,5.54,12.5,4,Winter,2015,1,6.56,43.2,Average
Silver Link,Supernatural,3,Original,Seinen,25,24,High,Low,2.75,11.9,5,Fall,2020,0,6.7,64.7,Average
CloverWorks,Drama,3,Visual Novel,Seinen,12,24,High,High,3.96,17.7,4,Fall,2019,1,9.78,87.7,Hit
A-1 Pictures,Mystery,1,Manga,Seinen,12,24,Low,Low,1.22,8.8,11,Winter,2020,0,8.19,70.2,Hit
Trigger,Fantasy,2,Manga,Shounen,12,24,Medium,Low,5.81,3.5,4,Fall,2022,0,7.05,60.5,Average
MAPPA,Slice of Life,2,Manga,Seinen,26,24,Low,Low,6.01,6.4,5,Spring,2019,1,9.62,100.0,Hit
A-1 Pictures,Psychological,1,Manga,Shounen,50,12,Medium,High,7.52,9.5,8,Spring,2017,0,9.69,85.7,Hit
Silver Link,Fantasy,3,Light Novel,Seinen,12,24,Medium,Medium,2.43,5.5,5,Fall,2016,1,5.52,33.1,Flop
Diomedea,Action,3,Light Novel,Shounen,24,24,Low,Medium,1.76,6.6,4,Fall,2024,1,3.97,44.6,Flop
MAPPA,Drama,1,Original,Shounen,12,12,Medium,Medium,6.01,9.5,6,Fall,2020,0,9.5,100.0,Hit
Doga Kobo,Mecha,1,Light Novel,Shounen,24,24,Low,Medium,6.35,12.8,7,Summer,2018,0,7.63,63.9,Average
Studio Deen,Romance,2,Game,Shounen,26,12,Medium,Medium,4.56,4.7,3,Winter,2022,1,5.56,33.6,Flop
Sunrise,Horror,2,Web Novel,Seinen,12,24,High,High,4.15,4.7,7,Winter,2017,1,9.26,66.8,Hit
CloverWorks,Isekai,3,Manga,Shounen,24,24,Low,Low,6.44,6.6,4,Spring,2023,0,8.65,70.7,Hit
Pierrot,Adventure,2,Manga,Shoujo,26,12,Low,Medium,5.35,11.5,4,Winter,2016,1,5.48,57.4,Average
ufotable,Horror,1,Manga,Shoujo,12,24,Medium,Low,7.7,6.3,11,Spring,2024,0,10.0,89.6,Hit
Zero-G,Slice of Life,2,Original,Seinen,50,24,Low,High,3.38,5.2,6,Spring,2023,1,6.56,62.8,Average
Silver Link,Sci-Fi,1,Light Novel,Seinen,100,24,Medium,High,5.49,6.8,6,Fall,2017,0,6.62,80.2,Average
Lerche,Sci-Fi,1,Manga,Seinen,12,24,High,Low,3.3,8.2,3,Summer,2021,1,8.57,79.2,Hit
Zero-G,Supernatural,1,Original,Seinen,24,24,Medium,Low,4.45,10.0,3,Winter,2017,1,7.21,56.0,Average
Madhouse,Sports,1,Original,Shounen,24,24,Medium,Medium,6.77,2.4,5,Summer,2015,0,8.27,80.9,Hit
Sunrise,Isekai,3,Web Novel,Josei,12,24,High,Medium,6.91,0.3,10,Fall,2018,1,8.8,100.0,Hit
J.C.Staff,Slice of Life,2,Manga,Josei,13,12,High,Low,5.86,4.0,3,Summer,2017,1,7.51,70.9,Hit
